Format,Liczba,Czas (ms),IEEE 754 Float,Blad wzgledny
"<32,4>",10101110001110100100001100000001,"0,013200",-395.4765319824219,"0,25"
"<32,4>",01101010010000111110000010100101,"0,003600",102696232.0,"0,94"
"<32,4>",10101100111001111100010110010011,"0,003000",-608.9129028320312,"0,25"
"<32,4>",10010000011100010001001111101001,"0,003500",-2397837056.0,"0,06"
"<32,4>",11000010011100010110110110010000,"0,002700",-0.5569219589233398,"1,00"
"<32,4>",10100000100110010111100001011011,"0,003000",-59015.64453125,"0,18"
"<32,4>",11001011011001100001111111101110,"0,002500",-0.1502688229084015,"1,00"
"<32,4>",00000001011110001011110010101010,"0,002500",2.9651757358806208e-05,"3,40"
"<32,4>",10100111100110000000111010101010,"0,003400",-7422.1669921875,"0,22"
"<32,4>",10100111110000000111011111011100,"0,002300",-6129.017578125,"0,22"
"<32,4>",00100010011001111000001011010000,"0,002400",0.007065154612064362,"1,05"
"<32,4>",10101110001010110100010110101101,"0,002600",-425.4556579589844,"0,25"
"<32,4>",00011000100010100110000111100011,"0,002100",0.0010557736968621612,"1,10"
"<32,4>",01101100011001011101001100101101,"0,002700",481977760.0,"0,93"
"<32,4>",01101000101100100011110101010111,"0,002600",23362222.0,"0,94"
"<32,4>",01000110001111100000010100010110,"0,002300",11.876241683959961,"0,99"
"<32,4>",00110011011101111011101110111010,"0,002300",0.12096352875232697,"1,01"
"<32,4>",00010111110000001000100011010010,"0,002200",0.0007344606565311551,"1,12"
"<32,4>",00100111000010101000101101100111,"0,002500",0.008456087671220303,"1,04"
"<32,4>",11111000011101111101011100000000,"0,002400",-3.2463110983371735e-05,"1,01"
"<32,4>",01111001000001100111011010011001,"0,002900",4958411967954944.0,"0,89"
"<32,4>",10101101100110011101100011001011,"0,002700",-920.6126098632812,"0,25"
"<32,4>",00000010001001100000000101110010,"0,002700",1.9789415091509e-05,"2,79"
"<32,4>",01101010100001001001101111001010,"0,002800",69525072.0,"0,94"
"<32,4>",10101010010001101000100000110011,"0,002500",-1483.7437744140625,"0,23"
"<32,4>",00111100010001001100011101110101,"0,002100",0.7686684727668762,"1,00"
"<32,4>",00111001001101111010000110101111,"0,002200",0.3586554229259491,"1,00"
"<32,4>",10111101111011000101111001110111,"0,002500",-2.306734323501587,"0,32"
"<32,4>",01010001110100000000100111010111,"0,002400",416.0768737792969,"0,97"
"<32,4>",00011100000001100110110011000101,"0,002300",0.002051160903647542,"1,08"
"<32,4>",01001010001100100111110111110010,"0,002400",44.62299346923828,"0,98"
"<32,4>",11000000000001011010101111001100,"0,006800",-0.9778473377227783,"1,00"
"<32,4>",01010000011011000111001000011111,"0,002300",472.8915710449219,"0,97"
"<32,4>",11100101001010000100000000001111,"0,003000",-0.00164604012388736,"1,01"
"<32,4>",10110010110101010111001000111000,"0,002700",-85.27691650390625,"0,27"
"<32,4>",10110100000110101100010000011101,"0,002600",-57.3084831237793,"0,28"
"<32,4>",10010100000011011010101000101111,"0,002700",-254106896.0,"0,09"
"<32,4>",00110001101001101010100101101111,"0,002100",0.08137785643339157,"1,02"
"<32,4>",00100100000101011000011111110110,"0,002300",0.009126653894782066,"1,05"
"<32,4>",10111100110111110000001000100110,"0,002900",-2.515493869781494,"0,32"
"<32,4>",11110010111010101110110011111111,"0,003000",-0.00014216826821211725,"1,01"
"<32,4>",00111100101011000010001110101010,"0,002300",0.6724191904067993,"1,00"
"<32,4>",00010000101000010111101010100011,"0,002300",0.00030799684464000165,"1,17"
"<32,4>",01111111001110111001101110111010,"0,004400",1.4715277190106632e+31,"0,80"
"<32,4>",01000111001110111010110001010110,"0,007700",11.729574203491211,"0,99"
"<32,4>",00000101101010001010111101111101,"0,004300",4.0217757486971095e-05,"1,63"
"<32,4>",00011111010101111110000001111000,"0,002600",0.003294019028544426,"1,07"
"<32,4>",10010101011001001111011111110101,"0,002800",-81281112.0,"0,10"
"<32,4>",11011011000011000111001011001010,"0,002500",-0.01486521027982235,"1,01"
"<32,4>",11010010001110001110101001000111,"0,002500",-0.04860470071434975,"1,01"
